Element;Node-1;Node-2;Node-3;Node-4
0;0;1;8;7
1;1;2;9;8
2;2;3;10;9
3;3;4;11;10
4;4;5;12;11
5;5;6;13;12
6;7;8;15;14
7;8;9;16;15
8;9;10;17;16
9;10;11;18;17
10;11;12;19;18
11;12;13;20;19
12;14;15;22;21
13;15;16;23;22
14;16;17;24;23
15;17;18;25;24
16;18;19;26;25
17;19;20;27;26
18;21;22;29;28
19;22;23;30;29
20;23;24;31;30
21;24;25;32;31
22;25;26;33;32
23;26;27;34;33
24;28;29;36;35
25;29;30;37;36
26;30;31;38;37
27;31;32;39;38
28;32;33;40;39
29;33;34;41;40
30;35;36;43;42
31;36;37;44;43
32;37;38;45;44
33;38;39;46;45
34;39;40;47;46
35;40;41;48;47
36;42;43;50;49
37;43;44;51;50
38;44;45;52;51
39;45;46;53;52
40;46;47;54;53
41;47;48;55;54
42;49;50;57;56
43;50;51;58;57
44;51;52;59;58
45;52;53;60;59
46;53;54;61;60
47;54;55;62;61
48;56;57;64;63
49;57;58;65;64
50;58;59;66;65
51;59;60;67;66
52;60;61;68;67
53;61;62;69;68
54;63;64;71;70
55;64;65;72;71
56;65;66;73;72
57;66;67;74;73
58;67;68;75;74
59;68;69;76;75
60;70;71;78;77
61;71;72;79;78
62;72;73;80;79
63;73;74;81;80
64;74;75;82;81
65;75;76;83;82
66;77;78;85;84
67;78;79;86;85
68;79;80;87;86
69;80;81;88;87
70;81;82;89;88
71;82;83;90;89
72;84;85;92;91
73;85;86;93;92
74;86;87;94;93
75;87;88;95;94
76;88;89;96;95
77;89;90;97;96
78;91;92;99;98
79;92;93;100;99
80;93;94;101;100
81;94;95;102;101
82;95;96;103;102
83;96;97;104;103
84;98;99;106;105
85;99;100;107;106
86;100;101;108;107
87;101;102;109;108
88;102;103;110;109
89;103;104;111;110
