X;Y
0;0
0;2767.84375
0;3422.953857
0;4270.869141
0;4354.705566
0;4419.00293
0;4494.61377
0;4578.70459
0;4663.018066
0;4728.288574
0;4746.038086
0;4766.094727
0;4791.02002
0;4823.929199
0;4866.30127
0;4902.196289
0;4929.243164
0;4953.740234
0;4975.397949
0;4993.17627
0;5009.751465
0;5025.557617
0;5040.741211
0;5055.432129
0;5069.697266
0;5083.572266
0;5097.123535
0;5110.350098
0;5123.287109
0;5135.984863
0;5148.401855
0;5160.574707
0;5172.554688
0;5184.318848
0;5195.880371
0;5207.270508
0;5218.478516
0;5229.512207
0;5240.382324
0;5251.101563
0;5261.677246
0;5272.091309
0;5282.372559
0;5292.506836
0;5302.510742
0;5312.387695
0;5322.141602
0;5331.769043
0;5341.288086
0;5350.688477
0;5359.978516
0;5369.149902
0;5378.218262
0;5387.186523
0;5396.047363
0;5404.8125
0;5413.481445
0;5422.047363
0;5430.526855
0;5438.912109
0;5447.200195
0;5455.400391
0;5463.510254
0;5471.541016
0;5479.476074
0;5487.331543
0;5495.102539
0;5502.793945
0;5510.402344
0;5517.925781
0;5525.376465
0;5532.750977
0;5540.040527
0;5547.26123
0;5554.404785
0;5561.475586
0;5568.472168
0;5575.395508
0;5582.240234
0;5589.021973
0;5595.726074
0;5602.36377
0;5608.925781
0;5615.416504
0;5621.837891
0;5628.19043
0;5634.475098
0;5640.695801
0;5646.850098
0;5652.937012
0;5658.953125
0;5664.910156
0;5670.80127
0;5676.623535
0;5682.384766
0;5688.07959
0;5693.708496
0;5699.280762
0;5704.787598
0;5710.230469
0;5715.612793
0;5720.931152
0;5726.186523
0;5731.381348
0;5736.51123
0;5741.581543
0;5746.587891
0;5751.535156
0;5756.42041
0;5759.790039
