      eval;                   phi;                    x1
         1;     47958401.34985881;            0.50000000
         2;     47958401.34985881;            0.50000000
         3;     47958401.34985881;            0.50000000
         4;     47958401.34985881;            0.50000000
         5;     43124639.19949885;            0.13929330
         6;     43124637.42203944;            0.13929330
         7;     15217038.99087275;            0.18730559
         8;     15217037.99510776;            0.18730560
         9;      4621590.28848442;            0.24773028
        10;      4621590.16639631;            0.24773028
        11;      4465688.16002793;            0.25718625
        12;      4465688.15805881;            0.25718626
        13;      4465647.54878330;            0.25734477
        14;      4465647.54878330;            0.25734477
        15;      4465647.54854109;            0.25734438
        16;      4465647.54854109;            0.25734438
        17;      4465647.54854109;            0.25734438
        18;      4465647.54854109;            0.25734438
